"ДИАМЕТР, мм",ТИП ШТЫРЕЙ,АРТИКУЛ
48,сфера,ATR-DB-R25-48B-SR
48,баллистика,ATR-DB-R25-48B-BR
51,сфера,ATR-DB-R25-51B-SR
51,баллистика,ATR-DB-R25-51B-BR
57,сфера,ATR-DB-R25-57B-SR
57,баллистика,ATR-DB-R25-57B-BR
