"ДИАМЕТР, мм",ТИП ШТЫРЕЙ,АРТИКУЛ
41,сфера,ATR-DB-R25-41A-SR
41,баллистика,ATR-DB-R25-41A-BR
43,сфера,ATR-DB-R25-43A-SR
43,баллистика,ATR-DB-R25-43A-BR
45,сфера,ATR-DB-R25-45A-SR
45,баллистика,ATR-DB-R25-45A-BR
