"ДИАМЕТР, мм",ТИП ШТЫРЕЙ,АРТИКУЛ
41,сфера,ATR-DB-R25-41A-S
41,баллистика,ATR-DB-R25-41A-B
43,сфера,ATR-DB-R25-43A-S
43,баллистика,ATR-DB-R25-43A-B
45,сфера,ATR-DB-R25-45A-S
45,баллистика,ATR-DB-R25-45A-B
51,сфера,ATR-DB-R25-51A-S
51,баллистика,ATR-DB-R25-51A-B
