НАИМЕНОВАНИЕ,АРТИКУЛ
"Адаптер вращателя RC 114 мм, L-300 мм, М45 METZKE",ATR-AD-114-300-M45
"Адаптер вращателя RC 114 мм, L-300 мм, М45 REMET",ATR-AD-114-300-R45
Внутренняя трубка адаптера вращателя  RC M45 - R45,ATR-ADT-114-300-M45
"Буровая труба RC в сборе L-6000 мм, 114 мм, R45 REMET",ATR-DT-114-6-R45
"Буровая труба RC в сборе L-5000 мм, 114 мм, R45 REMET",ATR-DT-114-5-R45
"Буровая труба RC в сборе L-4000 мм, 114 мм, R45 REME",ATR-DT-114-4-R45
"Буровая труба RC в сборе L-6000 мм, 114 мм, M45 METZKE",ATR-DT-114-6-M45
"Буровая труба RC в сборе L-5000 мм, 114 мм, M45 METZKE",ATR-DT-114-5-M45
"Буровая труба RC в сборе L-4000 мм, 114 мм, M45 METZKE",ATR-DT-114-4-M45
Внутренняя трубка буровой трубы RC R45  L-6000 мм,ATR-ADT-114-6-R45
Внутренняя трубка буровой трубы RC R45 L-5000 мм,ATR-ADT-114-5-R45
Внутренняя трубка буровой трубы RC R45  L-4000 мм,ATR-ADT-114-4-R45
"Нижний адаптер RC 126 мм, L - 220 мм, М45",ATR-AD-126-220-M45
"Нижний адаптер RC 126 мм, L - 220 мм, R45",ATR-AD-126-220-R45
Внутренняя трубка нижнего адаптера  RC,ATR-ADT-126-220-M45
RC пневмоударник в сборе ATR52 REMET,ATR-RCH-RP52-HDR
RC пневмоударник в сборе ATR52 METZKE,ATR-RCH-RP52-HDM
Пробоотборная трубка RC пневмоударника ATR52,ATR-RP52-4
Буровая коронка  RC130 мм DRG RP52,ATR-RP52-130
RC Юбка буровой коронки 129 мм RP52,ATR-SV-RP52-129
RC Юбка буровой коронки 128 мм RP52,ATR-SV-RP52-128
Буровая коронка  RC133 мм DRG RP52,ATR-RP52-133
RC Юбка буровой коронки 132 мм RP52,ATR-SV-RP52-132
RC Юбка буровой коронки 131 мм RP52,ATR-SV-RP52-131
Буровая коронка  RC136 мм DRG RP52,ATR-RP52-136
RC Юбка буровой коронки 135 мм RP52,ATR-SV-RP52-135
RC Юбка буровой коронки 134 мм RP52,ATR-SV-RP52-134
Буровая коронка  RC146 мм DRG RP52,ATR-RP52-146
RC Юбка буровой коронки 145 мм RP52,ATR-SV-RP52-145
RC Юбка буровой коронки 144 мм RP52,ATR-SV-RP52-144































